week,window_start,window_end,50501,congress,democracydocket,federalregister,guardian,hcr,justsecurity,meidas,noah,orders,outloud,popinfo,shadow,zeteo,RELIABLE_total,committed_index_total(INFLATED)
9,2025-03-15,2025-03-21,0,1,4,28,104,49,77,46,8,6,5,12,0,33,373,521
10,2025-03-22,2025-03-28,0,0,2,34,105,37,117,37,19,9,14,12,0,51,437,224
11,2025-03-29,2025-04-04,1,0,4,36,105,41,114,36,21,5,1,13,1,17,395,976
12,2025-04-05,2025-04-11,3,1,8,33,127,61,112,32,22,12,6,13,3,36,469,847
13,2025-04-12,2025-04-18,0,0,0,30,76,37,122,70,17,6,5,11,0,1,375,721
14,2025-04-19,2025-04-25,0,0,3,41,69,41,101,34,15,9,3,10,0,77,403,826
15,2025-04-26,2025-05-02,0,0,2,60,160,43,88,32,22,6,7,16,0,25,461,831
16,2025-05-03,2025-05-09,0,6,0,48,79,59,101,42,19,5,5,14,1,0,379,934
17,2025-05-10,2025-05-16,1,0,3,31,82,38,69,36,11,2,5,12,1,16,307,423
18,2025-05-17,2025-05-23,0,3,3,43,78,48,59,42,16,5,9,10,1,83,400,532
19,2025-05-24,2025-05-30,11,0,1,51,63,24,39,34,14,0,3,9,1,20,270,430
20,2025-05-31,2025-06-06,0,0,3,38,93,50,58,35,14,4,9,16,2,0,322,659
21,2025-06-07,2025-06-13,1,4,2,54,89,48,51,43,22,2,9,31,0,78,434,609
22,2025-06-14,2025-06-20,1,2,3,105,90,27,41,35,15,2,0,8,0,45,374,569
